plate_plasmid,lib-id-extended,strain-name,barcode
plate1-B5_phh_A-Hong-Kong-4801-2014_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_6,A/Hong Kong/4801/2014,bc2
plate1-B6_phh_A-Hong-Kong-4801-2014_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_6,A/Hong Kong/4801/2014,bc3
plate1-B7_phh_A-Hong-Kong-45-2019_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_7,A/Hong Kong/45/2019,bc1
plate1-B8_phh_A-Hong-Kong-45-2019_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_7,A/Hong Kong/45/2019,bc2
plate1-B9_phh_A-Hong-Kong-45-2019_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_7,A/Hong Kong/45/2019,bc3
plate1-B10_phh_A-Hong-Kong-2671-2019_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_8,A/Hong Kong/2671/2019,bc1
plate1-B11_phh_A-Hong-Kong-2671-2019_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_8,A/Hong Kong/2671/2019,bc2
plate1-B12_phh_A-Hong-Kong-2671-2019_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_8,A/Hong Kong/2671/2019,bc3
plate1-C1_phh_A-Singapore-INFIMH-16-0019-2016_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_9,A/Singapore/INFIMH-16-0019/2016,bc1
plate1-C2_phh_A-Singapore-INFIMH-16-0019-2016_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_9,A/Singapore/INFIMH-16-0019/2016,bc2
plate1-C3_phh_A-Singapore-INFIMH-16-0019-2016_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_9,A/Singapore/INFIMH-16-0019/2016,bc3
plate1-C4_phh_A-Singapore-INFIMH-16-0019-2016-X-307A_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_10,A/Singapore/INFIMH-16-0019/2016 X-307A,bc1
plate1-C5_phh_A-Singapore-INFIMH-16-0019-2016-X-307A_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_10,A/Singapore/INFIMH-16-0019/2016 X-307A,bc2
plate1-C6_phh_A-Singapore-INFIMH-16-0019-2016-X-307A_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_10,A/Singapore/INFIMH-16-0019/2016 X-307A,bc3
plate1-C7_phh_A-Kansas-14-2017_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_11,A/Kansas/14/2017,bc1
plate1-C8_phh_A-Kansas-14-2017_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_11,A/Kansas/14/2017,bc2
plate1-C9_phh_A-Kansas-14-2017_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_11,A/Kansas/14/2017,bc3
plate1-C10_phh_A-Kansas-14-2017-X-327_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_12,A/Kansas/14/2017 X-327,bc1
plate1-C11_phh_A-Kansas-14-2017-X-327_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_12,A/Kansas/14/2017 X-327,bc2
plate1-C12_phh_A-Kansas-14-2017-X-327_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_12,A/Kansas/14/2017 X-327,bc3
plate1-D1_phh_A-Cambodia-e0826360-2020_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_13,A/Cambodia/e0826360/2020,bc1
plate1-D2_phh_A-Cambodia-e0826360-2020_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_13,A/Cambodia/e0826360/2020,bc2
plate1-D3_phh_A-Cambodia-e0826360-2020_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_13,A/Cambodia/e0826360/2020,bc3
plate1-D4_phh_A-Darwin-6-2021_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_14,A/Darwin/6/2021,bc1
plate1-D5_phh_A-Darwin-6-2021_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_14,A/Darwin/6/2021,bc2
plate1-D6_phh_A-Darwin-6-2021_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_14,A/Darwin/6/2021,bc3
plate1-D7_phh_A-Cambodia-e0826360-2020_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_15,A/Cambodia/e0826360/2020 egg,bc1
plate1-D8_phh_A-Cambodia-e0826360-2020_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_15,A/Cambodia/e0826360/2020 egg,bc2
plate1-D9_phh_A-Cambodia-e0826360-2020_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_15,A/Cambodia/e0826360/2020 egg,bc3
plate1-D10_phh_A-Darwin-9-2021_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_16,A/Darwin/9/2021,bc1
plate1-D11_phh_A-Darwin-9-2021_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_16,A/Darwin/9/2021,bc2
plate1-D12_phh_A-Darwin-9-2021_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_16,A/Darwin/9/2021,bc3
plate1-E1_phh_A-Abu-Dhabi-6753-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_17,A/Abu Dhabi/6753/2023,bc1
plate1-E1_phh_A-Abu-Dhabi-6753-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_17,A/Abu Dhabi/6753/2023,bc1
plate1-E2_phh_A-Abu-Dhabi-6753-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_17,A/Abu Dhabi/6753/2023,bc2
plate1-E2_phh_A-Abu-Dhabi-6753-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_17,A/Abu Dhabi/6753/2023,bc2
plate1-E3_phh_A-Abu-Dhabi-6753-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_17,A/Abu Dhabi/6753/2023,bc3
plate1-E3_phh_A-Abu-Dhabi-6753-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_17,A/Abu Dhabi/6753/2023,bc3
plate1-E4_phh_A-Georgia-40-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_18,A/Georgia/40/2023,bc1
plate1-E4_phh_A-Georgia-40-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_18,A/Georgia/40/2023,bc1
plate1-E5_phh_A-Georgia-40-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_18,A/Georgia/40/2023,bc2
plate1-E5_phh_A-Georgia-40-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_18,A/Georgia/40/2023,bc2
plate1-E6_phh_A-Georgia-40-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_18,A/Georgia/40/2023,bc3
plate1-E6_phh_A-Georgia-40-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_18,A/Georgia/40/2023,bc3
plate1-E7_phh_A-California-81-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_19,A/California/81/2023,bc1
plate1-E7_phh_A-California-81-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_19,A/California/81/2023,bc1
plate1-E8_phh_A-California-81-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_19,A/California/81/2023,bc2
plate1-E8_phh_A-California-81-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_19,A/California/81/2023,bc2
plate1-E9_phh_A-California-81-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_19,A/California/81/2023,bc3
plate1-E9_phh_A-California-81-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_19,A/California/81/2023,bc3
plate1-E10_phh_A-Wisconsin-27-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_20,A/Wisconsin/27/2023,bc1
plate1-E10_phh_A-Wisconsin-27-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_20,A/Wisconsin/27/2023,bc1
plate1-E11_phh_A-Wisconsin-27-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_20,A/Wisconsin/27/2023,bc2
plate1-E11_phh_A-Wisconsin-27-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_20,A/Wisconsin/27/2023,bc2
plate1-E12_phh_A-Wisconsin-27-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_20,A/Wisconsin/27/2023,bc3
plate1-E12_phh_A-Wisconsin-27-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_20,A/Wisconsin/27/2023,bc3
plate1-F1_phh_A-Maldives-852-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_21,A/Maldives/852/2023,bc1
plate1-F1_phh_A-Maldives-852-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_21,A/Maldives/852/2023,bc1
plate1-F2_phh_A-Maldives-852-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_21,A/Maldives/852/2023,bc2
plate1-F2_phh_A-Maldives-852-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_21,A/Maldives/852/2023,bc2
plate1-F3_phh_A-Maldives-852-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_21,A/Maldives/852/2023,bc3
plate1-F3_phh_A-Maldives-852-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_21,A/Maldives/852/2023,bc3
plate1-F4_phh_A-Oman-3011-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_22,A/Oman/3011/2023,bc1
plate1-F4_phh_A-Oman-3011-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_22,A/Oman/3011/2023,bc1
plate1-F5_phh_A-Oman-3011-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_22,A/Oman/3011/2023,bc2
plate1-F5_phh_A-Oman-3011-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_22,A/Oman/3011/2023,bc2
plate1-F6_phh_A-Oman-3011-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_22,A/Oman/3011/2023,bc3
plate1-F6_phh_A-Oman-3011-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_22,A/Oman/3011/2023,bc3
plate1-F7_phh_A-SOUTH-AFRICA-R07876-202023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_23,A/SOUTH AFRICA/R07876/202023,bc1
plate1-F7_phh_A-SOUTH-AFRICA-R07876-202023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_23,A/SOUTH AFRICA/R07876/202023,bc1
plate1-F8_phh_A-SOUTH-AFRICA-R07876-202023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_23,A/SOUTH AFRICA/R07876/202023,bc2
plate1-F8_phh_A-SOUTH-AFRICA-R07876-202023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_23,A/SOUTH AFRICA/R07876/202023,bc2
plate1-F9_phh_A-SOUTH-AFRICA-R07876-202023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_23,A/SOUTH AFRICA/R07876/202023,bc3
plate1-F9_phh_A-SOUTH-AFRICA-R07876-202023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_23,A/SOUTH AFRICA/R07876/202023,bc3
plate1-F10_phh_A-Bhutan-0845-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_24,A/Bhutan/0845/2023,bc1
plate1-F10_phh_A-Bhutan-0845-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_24,A/Bhutan/0845/2023,bc1
plate1-F11_phh_A-Bhutan-0845-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_24,A/Bhutan/0845/2023,bc2
plate1-F11_phh_A-Bhutan-0845-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_24,A/Bhutan/0845/2023,bc2
plate1-F12_phh_A-Bhutan-0845-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_24,A/Bhutan/0845/2023,bc3
plate1-F12_phh_A-Bhutan-0845-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_24,A/Bhutan/0845/2023,bc3
plate1-G1_phh_A-Netherlands-01693-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_25,A/Netherlands/01693/2023,bc1
plate1-G2_phh_A-Netherlands-01693-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_25,A/Netherlands/01693/2023,bc2
plate1-G3_phh_A-Netherlands-01693-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_25,A/Netherlands/01693/2023,bc3
plate1-G4_phh_A-Bangkok-P3755-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_26,A/Bangkok/P3755/2023,bc1
plate1-G4_phh_A-Bangkok-P3755-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_26,A/Bangkok/P3755/2023,bc1
plate1-G5_phh_A-Bangkok-P3755-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_26,A/Bangkok/P3755/2023,bc2
plate1-G5_phh_A-Bangkok-P3755-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_26,A/Bangkok/P3755/2023,bc2
plate1-G6_phh_A-Bangkok-P3755-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_26,A/Bangkok/P3755/2023,bc3
plate1-G6_phh_A-Bangkok-P3755-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_26,A/Bangkok/P3755/2023,bc3
plate1-G7_phh_A-Krabi-THIS050-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_27,A/Krabi/THIS050/2023,bc1
plate1-G8_phh_A-Krabi-THIS050-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_27,A/Krabi/THIS050/2023,bc2
plate1-G9_phh_A-Krabi-THIS050-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_27,A/Krabi/THIS050/2023,bc3
plate1-G10_phh_A-Netherlands-01685-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_28,A/Netherlands/01685/2023,bc1
plate1-G11_phh_A-Netherlands-01685-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_28,A/Netherlands/01685/2023,bc2
plate1-G12_phh_A-Netherlands-01685-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_28,A/Netherlands/01685/2023,bc3
plate1-H1_phh_A-Netherlands-01760-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_29,A/Netherlands/01760/2023,bc1
plate1-H2_phh_A-Netherlands-01760-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_29,A/Netherlands/01760/2023,bc2
plate1-H3_phh_A-Netherlands-01760-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_29,A/Netherlands/01760/2023,bc3
plate1-H4_phh_A-Chipata-15-NIC-001-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_30,A/Chipata/15-NIC-001/2023,bc1
plate1-H5_phh_A-Chipata-15-NIC-001-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_30,A/Chipata/15-NIC-001/2023,bc2
plate1-H6_phh_A-Chipata-15-NIC-001-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_30,A/Chipata/15-NIC-001/2023,bc3
plate1-H7_phh_A-Malaysia-IMR-SARI1989-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_31,A/Malaysia/IMR-SARI1989/2023 ,bc1
plate1-H7_phh_A-Malaysia-IMR-SARI1989-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_31,A/Malaysia/IMR-SARI1989/2023 ,bc1
plate1-H8_phh_A-Malaysia-IMR-SARI1989-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_31,A/Malaysia/IMR-SARI1989/2023 ,bc2
plate1-H8_phh_A-Malaysia-IMR-SARI1989-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_31,A/Malaysia/IMR-SARI1989/2023 ,bc2
plate1-H9_phh_A-Malaysia-IMR-SARI1989-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_31,A/Malaysia/IMR-SARI1989/2023 ,bc3
plate1-H9_phh_A-Malaysia-IMR-SARI1989-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_31,A/Malaysia/IMR-SARI1989/2023 ,bc3
plate1-H10_phh_A-Singapore-NUH0526-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_32,A/Singapore/NUH0526/2023,bc1
plate1-H10_phh_A-Singapore-NUH0526-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_32,A/Singapore/NUH0526/2023,bc1
plate1-H11_phh_A-Singapore-NUH0526-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_32,A/Singapore/NUH0526/2023,bc2
plate1-H11_phh_A-Singapore-NUH0526-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_32,A/Singapore/NUH0526/2023,bc2
plate1-H12_phh_A-Singapore-NUH0526-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_32,A/Singapore/NUH0526/2023,bc3
plate1-H12_phh_A-Singapore-NUH0526-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_32,A/Singapore/NUH0526/2023,bc3
plate2-A1_phh_A-Victoria-1033-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_33,A/Victoria/1033/2023,bc1
plate2-A1_phh_A-Victoria-1033-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_33,A/Victoria/1033/2023,bc1
plate2-A2_phh_A-Victoria-1033-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_33,A/Victoria/1033/2023,bc2
plate2-A2_phh_A-Victoria-1033-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_33,A/Victoria/1033/2023,bc2
plate2-A3_phh_A-Victoria-1033-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_33,A/Victoria/1033/2023,bc3
plate2-A3_phh_A-Victoria-1033-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_33,A/Victoria/1033/2023,bc3
plate2-A4_phh_A-Catalonia-NSVH102124476-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_34,A/Catalonia/NSVH102124476/2023,bc1
plate2-A5_phh_A-Catalonia-NSVH102124476-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_34,A/Catalonia/NSVH102124476/2023,bc2
plate2-A6_phh_A-Catalonia-NSVH102124476-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_34,A/Catalonia/NSVH102124476/2023,bc3
plate2-A7_phh_A-Sydney-749-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_35,A/Sydney/749/2023,bc1
plate2-A7_phh_A-Sydney-749-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_35,A/Sydney/749/2023,bc1
plate2-A8_phh_A-Sydney-749-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_35,A/Sydney/749/2023,bc2
plate2-A8_phh_A-Sydney-749-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_35,A/Sydney/749/2023,bc2
plate2-A9_phh_A-Sydney-749-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_35,A/Sydney/749/2023,bc3
plate2-A9_phh_A-Sydney-749-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_35,A/Sydney/749/2023,bc3
plate2-A10_phh_A-Townsville-68-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_36,A/Townsville/68/2023,bc1
plate2-A10_phh_A-Townsville-68-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_36,A/Townsville/68/2023,bc1
plate2-A11_phh_A-Townsville-68-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_36,A/Townsville/68/2023,bc2
plate2-A11_phh_A-Townsville-68-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_36,A/Townsville/68/2023,bc2
plate2-A12_phh_A-Townsville-68-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_36,A/Townsville/68/2023,bc3
plate2-A12_phh_A-Townsville-68-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_36,A/Townsville/68/2023,bc3
plate2-B1_phh_A-Sydney-710-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_37,A/Sydney/710/2023,bc1
plate2-B1_phh_A-Sydney-710-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_37,A/Sydney/710/2023,bc1
plate2-B2_phh_A-Sydney-710-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_37,A/Sydney/710/2023,bc2
plate2-B2_phh_A-Sydney-710-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_37,A/Sydney/710/2023,bc2
plate2-B3_phh_A-Sydney-710-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_37,A/Sydney/710/2023,bc3
plate2-B3_phh_A-Sydney-710-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_37,A/Sydney/710/2023,bc3
plate2-B4_phh_A-Sydney-332-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_38,A/Sydney/332/2023,bc1
plate2-B5_phh_A-Sydney-332-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_38,A/Sydney/332/2023,bc2
plate2-B6_phh_A-Sydney-332-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_38,A/Sydney/332/2023,bc3
plate2-B7_phh_A-South-Africa-R05510-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_39,A/South Africa/R05510/2023,bc1
plate2-B8_phh_A-South-Africa-R05510-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_39,A/South Africa/R05510/2023,bc2
plate2-B9_phh_A-South-Africa-R05510-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_39,A/South Africa/R05510/2023,bc3
plate2-B10_phh_A-SouthAfrica-PET28931-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_40,A/SouthAfrica/PET28931/2023,bc1
plate2-B11_phh_A-SouthAfrica-PET28931-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_40,A/SouthAfrica/PET28931/2023,bc2
plate2-B12_phh_A-SouthAfrica-PET28931-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_40,A/SouthAfrica/PET28931/2023,bc3
plate2-C1_phh_A-South-Africa-R07188-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_41,A/South Africa/R07188/2023,bc1
plate2-C2_phh_A-South-Africa-R07188-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_41,A/South Africa/R07188/2023,bc2
plate2-C3_phh_A-South-Africa-R07188-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_41,A/South Africa/R07188/2023,bc3
plate2-C4_phh_A-South-Africa-R06477-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_42,A/South Africa/R06477/2023,bc1
plate2-C5_phh_A-South-Africa-R06477-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_42,A/South Africa/R06477/2023,bc2
plate2-C6_phh_A-South-Africa-R06477-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_42,A/South Africa/R06477/2023,bc3
plate2-C7_phh_A-South-Africa-R06240-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_43,A/South Africa/R06240/2023,bc1
